ハリー・ポッターと秘密の部屋(2002年製作の映画),4.0
もののけ姫(1997年製作の映画),4.0
フォレスト・ガンプ／一期一会(1994年製作の映画),4.0
ハリー・ポッターと賢者の石(2001年製作の映画),4.0
サマーウォーズ(2009年製作の映画),4.0
となりのトトロ(1988年製作の映画),4.0
プラダを着た悪魔(2006年製作の映画),4.0
オーシャンズ11(2001年製作の映画),4.0
タイタニック(1997年製作の映画),4.0
東京ゴッドファーザーズ(2003年製作の映画),4.0
マッチスティック・メン(2003年製作の映画),4.0
ユージュアル・サスペクツ(1995年製作の映画),4.0
ただ、君を愛してる(2006年製作の映画),4.0
言の葉の庭(2013年製作の映画),4.0
レオン 完全版(1994年製作の映画),4.0
ミッション：インポッシブル ローグ・ネイション(2015年製作の映画),4.0
天使のくれた時間(2000年製作の映画),4.0
インサイド・マン(2006年製作の映画),4.0
ビューティフル・マインド(2001年製作の映画),4.0
ディス／コネクト(2012年製作の映画),4.0
プレステージ(2006年製作の映画),4.0
ザ・シューター／極大射程(2007年製作の映画),4.0
レオン(1994年製作の映画),4.0
ツレがうつになりまして。(2011年製作の映画),4.0
舟を編む(2013年製作の映画),4.0
ソラニン(2010年製作の映画),4.0
ピンポン(2002年製作の映画),4.0
鴨川ホルモー(2009年製作の映画),4.0
グランド・イリュージョン(2013年製作の映画),4.0
マチネの終わりに(2019年製作の映画),3.9
ハクソー・リッジ(2016年製作の映画),3.9
鑑定士と顔のない依頼人(2013年製作の映画),3.9
プロメア(2019年製作の映画),3.9
バーフバリ 伝説誕生(2015年製作の映画),3.9
きっと、うまくいく(2009年製作の映画),3.9
劇場版 Fate/stay night Heaven's Feel II. lost butterfly(2019年製作の映画),3.9
運び屋(2018年製作の映画),3.9
エブリデイ(2018年製作の映画),3.9
アクアマン(2018年製作の映画),3.9
メッセージ(2016年製作の映画),3.9
羊たちの沈黙(1990年製作の映画),3.9
博士と彼女のセオリー(2014年製作の映画),3.9
マリアンヌ(2016年製作の映画),3.9
機動戦士ガンダム THE ORIGIN 誕生 赤い彗星(2018年製作の映画),3.9
新機動戦記ガンダムW Endless Waltz -特別篇-(1998年製作の映画),3.9
真実の行方(1996年製作の映画),3.9
グラディエーター(2000年製作の映画),3.9
プロジェクト・アルマナック(2014年製作の映画),3.9
オール・ユー・ニード・イズ・キル(2014年製作の映画),3.9
アバウト・タイム 愛おしい時間について(2013年製作の映画),3.9
ミリオンダラー・ベイビー(2004年製作の映画),3.9
ブレードランナー 完全版(1982年製作の映画),3.9
ミッドナイト・イン・パリ(2011年製作の映画),3.9
ロード・オブ・ザ・リング(2001年製作の映画),3.9
閉ざされた森(2003年製作の映画),3.9
セブン(1995年製作の映画),3.9
シカゴ7裁判(2020年製作の映画),3.8
沈黙ーサイレンスー(2015年製作の映画),3.8
リチャード・ジュエル(2019年製作の映画),3.8
ハングオーバー!! 史上最悪の二日酔い、国境を越える(2011年製作の映画),3.8
ハングオーバー! 消えた花ムコと史上最悪の二日酔い(2009年製作の映画),3.8
コードネーム U.N.C.L.E.(2014年製作の映画),3.8
チェンジリング(2008年製作の映画),3.8
The Witch/魔女(2018年製作の映画),3.8
劇場版 ファイナルファンタジーXIV 光のお父さん(2019年製作の映画),3.8
ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -(2019年製作の映画),3.8
ビューティー・インサイド(2015年製作の映画),3.8
あの頃、君を追いかけた(2018年製作の映画),3.8
チョコレートドーナツ(2012年製作の映画),3.8
イコライザー２(2018年製作の映画),3.8
60セカンズ(2000年製作の映画),3.8
フェイス／オフ(1997年製作の映画),3.8
バンブルビー(2018年製作の映画),3.8
プレイス・ビヨンド・ザ・パインズ／宿命(2012年製作の映画),3.8
スパイダーマン：ホームカミング(2017年製作の映画),3.8
坂道のアポロン(2017年製作の映画),3.8
ゲット・アウト(2017年製作の映画),3.8
ロスト・ボディ(2012年製作の映画),3.8
パトリオット・デイ(2016年製作の映画),3.8
ザ・ロック(1996年製作の映画),3.8
リメンバー・ミー(2017年製作の映画),3.8
スター・ウォーズ／最後のジェダイ(2017年製作の映画),3.8
スター・ウォーズ／フォースの覚醒(2015年製作の映画),3.8
ズートピア(2016年製作の映画),3.8
ブラックパンサー(2018年製作の映画),3.8
ガーディアンズ・オブ・ギャラクシー(2014年製作の映画),3.8
アベンジャーズ／エイジ・オブ・ウルトロン(2015年製作の映画),3.8
キャプテン・アメリカ ウィンター・ソルジャー(2014年製作の映画),3.8
アイアンマン2(2010年製作の映画),3.8
女神の見えざる手(2016年製作の映画),3.8
X-MEN:フューチャー＆パスト(2014年製作の映画),3.8
バットマン ビギンズ(2005年製作の映画),3.8
勝手にふるえてろ(2017年製作の映画),3.8
ゴーン・ガール(2014年製作の映画),3.8
黄金のアデーレ 名画の帰還(2015年製作の映画),3.8
スタンド・バイ・ミー(1986年製作の映画),3.8
シェイプ・オブ・ウォーター(2017年製作の映画),3.8
キングスマン：ゴールデン・サークル(2017年製作の映画),3.8
ジュラシック・ワールド 炎の王国(2018年製作の映画),3.8
デッドプール２(2018年製作の映画),3.8
チャッピー(2015年製作の映画),3.8
雨の日は会えない、晴れた日は君を想う(2015年製作の映画),3.8
ショーン・オブ・ザ・デッド(2004年製作の映画),3.8
グランド・イリュージョン 見破られたトリック(2016年製作の映画),3.8
007／カジノ・ロワイヤル(2006年製作の映画),3.8
機動戦士ガンダム F91(1991年製作の映画),3.8
ワイルド・スピード MEGA MAX(2011年製作の映画),3.8
ドント・ブリーズ(2016年製作の映画),3.8
バック・トゥ・ザ・フューチャーPART3(1990年製作の映画),3.8
世界から猫が消えたなら(2015年製作の映画),3.8
映画 聲の形(2016年製作の映画),3.8
ナイスガイズ！(2016年製作の映画),3.8
CUBE(1997年製作の映画),3.8
ローラーガールズ・ダイアリー(2009年製作の映画),3.8
手紙は憶えている(2015年製作の映画),3.8
42〜世界を変えた男〜(2013年製作の映画),3.8
ハッピーエンドが書けるまで(2012年製作の映画),3.8
クリード チャンプを継ぐ男(2015年製作の映画),3.8
グレイティスト(2009年製作の映画),3.8
はじまりのうた(2013年製作の映画),3.8
リベリオン(2002年製作の映画),3.8
BLAME! ブラム(2017年製作の映画),3.8
WOOD JOB！（ウッジョブ）神去なあなあ日常(2014年製作の映画),3.8
劇場版 ソードアート・オンライン オーディナル・スケール(2017年製作の映画),3.8
ロード・オブ・ザ・リング／王の帰還(2003年製作の映画),3.8
スパイダーマン3(2007年製作の映画),3.8
JAWS／ジョーズ(1975年製作の映画),3.8
容疑者Xの献身(2008年製作の映画),3.8
レミーのおいしいレストラン(2007年製作の映画),3.8
ハリー・ポッターとアズカバンの囚人(2004年製作の映画),3.8
天空の城ラピュタ(1986年製作の映画),3.8
イミテーション・ゲーム／エニグマと天才数学者の秘密(2014年製作の映画),3.8
ボーン・アルティメイタム(2007年製作の映画),3.8
ウルフ・オブ・ウォールストリート(2013年製作の映画),3.8
ボーン・スプレマシー(2004年製作の映画),3.8
パプリカ(2006年製作の映画),3.8
フライト・ゲーム(2014年製作の映画),3.8
名探偵ピカチュウ(2019年製作の映画),3.7
監視資本主義　デジタル社会がもたらす光と影(2020年製作の映画),3.7
アメリカン・アニマルズ(2018年製作の映画),3.7
